line_id;from_bus;to_bus;vn_kv;;;
line_1;bus_1mv;bus_2mv;11;;;
line_2;bus_2lv;bus_3lv;0.4;;;
line_3;bus_3lv;bus_4lv;0.4;;;
line_4;bus_2mv;bus_5mv;11;;;
line_5;bus_5mv;bus_6mv;11;;;
line_6;bus_6mv;bus_8mv;11;;;
line_7;bus_8mv;bus_9mv;11;;;
line_8;bus_9mv;bus_12mv;11;;;
line_9;bus_12mv;bus_trafo1_mv;11;;;
line_10;bus_2lv;bus_5lv;0.4;;;
line_11;bus_5lv;bus_6lv;0.4;;;
line_12;bus_6lv;bus_7lv;0.4;;;
line_13;bus_6lv;bus_8lv;0.4;;;
line_14;bus_7lv;bus_8lv;0.4;;!! Uncertain connection;
line_15;bus_8lv;bus_9lv;0.4;;;
line_16;bus_9lv;bus_10lv;0.4;;!! Uncertain connection;
line_17;bus_9lv;bus_11lv;0.4;;;
line_18;bus_9lv;bus_12lv;0.4;;;
line_19;bus_12lv;bus_trafo1_lv;0.4;;;
line_20;bus_1mv;bus_13mv;11;;;
line_21;bus_13mv;bus_14mv;11;;;
line_22;bus_14mv;bus_15mv;11;;;
line_23;bus_15mv;bus_16mv;11;;;
line_24;bus_16mv;bus_trafo2_mv;11;;;
line_25;bus_trafo2_lv;bus_17lv;0.4;;;
line_26;bus_16mv;bus_17mv;11;;;
line_27;bus_trafo2_mv;bus_18mv;11;;;
line_28;bus_18mv;bus_19mv;11;;;
line_29;bus_19mv;bus_20mv;11;;;
line_30;bus_20mv;bus_21mv;11;;;
line_31;bus_21mv;bus_22mv;11;;;
line_32;bus_trafo2_lv;bus_18lv;0.4;;;
line_33;bus_18lv;bus_19lv;0.4;;;
line_34;bus_19lv;bus_20lv;0.4;;;
line_35;bus_20lv;bus_21lv;0.4;;;
